Path:	
C:\Users\kastriots\Google Drive\Measurement data\Plat_FacingAnt_11613.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
510.00000000	-0.00008392
520.00000000	-0.00010681
530.00000000	-0.00013733
540.00000000	-0.00014496
550.00000000	-0.00013733
560.00000000	-0.00012970
570.00000000	-0.00012970
580.00000000	-0.00013733
590.00000000	-0.00013733
600.00000000	-0.00015259
610.00000000	-0.00012207
620.00000000	-0.00010681
630.00000000	-0.00010681
640.00000000	-0.00010681
650.00000000	-0.00011444
660.00000000	-0.00011444
670.00000000	-0.00011444
680.00000000	-0.00013733
690.00000000	-0.00015259
700.00000000	-0.00016022
710.00000000	-0.00019836
720.00000000	-0.00020599
730.00000000	-0.00019074
740.00000000	-0.00017548
750.00000000	-0.00013733
760.00000000	-0.00014496
770.00000000	-0.00013733
780.00000000	-0.00015259
790.00000000	-0.00021362
800.00000000	-0.00022888
810.00000000	-0.00025940
820.00000000	-0.00025940
830.00000000	-0.00022125
840.00000000	-0.00021362
850.00000000	-0.00020599
860.00000000	-0.00021362
870.00000000	-0.00022125
880.00000000	-0.00024414
890.00000000	-0.00025940
900.00000000	-0.00025940
910.00000000	-0.00025940
920.00000000	-0.00026703
930.00000000	-0.00026703
940.00000000	-0.00026703
950.00000000	-0.00024414
960.00000000	-0.00023651
970.00000000	-0.00021362
980.00000000	-0.00021362
990.00000000	-0.00022888
1000.00000000	-0.00021362
1010.00000000	-0.00022888
1020.00000000	-0.00022888
1030.00000000	-0.00023651
1040.00000000	-0.00022888
1050.00000000	-0.00022888
1060.00000000	-0.00021362
1070.00000000	-0.00021362
1080.00000000	-0.00021362
1090.00000000	-0.00025177
1100.00000000	-0.00026703
1110.00000000	-0.00029755
1120.00000000	-0.00030518
1130.00000000	-0.00031281
1140.00000000	-0.00029755
1150.00000000	-0.00028229
1160.00000000	-0.00026703
1170.00000000	-0.00026703
1180.00000000	-0.00026703
1190.00000000	-0.00031281
1200.00000000	-0.00032044
1210.00000000	-0.00034333
1220.00000000	-0.00035858
1230.00000000	-0.00037384
1240.00000000	-0.00036621
1250.00000000	-0.00038910
1260.00000000	-0.00041199
1270.00000000	-0.00044251
1280.00000000	-0.00046540
1290.00000000	-0.00048065
1300.00000000	-0.00048065
1310.00000000	-0.00048065
1320.00000000	-0.00048065
1330.00000000	-0.00050354
1340.00000000	-0.00053406
1350.00000000	-0.00055695
1360.00000000	-0.00057221
1370.00000000	-0.00059510
1380.00000000	-0.00058747
1390.00000000	-0.00057984
1400.00000000	-0.00056458
1410.00000000	-0.00054932
1420.00000000	-0.00053406
1430.00000000	-0.00046540
1440.00000000	-0.00041199
1450.00000000	-0.00016785
1460.00000000	0.00003052
1470.00000000	0.00051117
1480.00000000	0.00087738
1490.00000000	0.00198366
1500.00000000	0.00277711
1510.00000000	0.00502780
1520.00000000	0.00646213
1530.00000000	0.01052100
1540.00000000	0.01226810
1550.00000000	0.01703660
1560.00000000	0.01855480
1570.00000000	0.01937880
1580.00000000	0.01784530
1590.00000000	0.01025400
1600.00000000	0.00609592
1610.00000000	-0.00418857
1620.00000000	-0.00733188
1630.00000000	-0.01103220
1640.00000000	-0.01113130
1650.00000000	-0.01026160
1660.00000000	-0.00988775
1670.00000000	-0.00938421
1680.00000000	-0.00920111
1690.00000000	-0.00818640
1700.00000000	-0.00737765
1710.00000000	-0.00498202
1720.00000000	-0.00437930
1730.00000000	-0.00368501
1740.00000000	-0.00367738
1750.00000000	-0.00331117
1760.00000000	-0.00275423
1770.00000000	-0.00106812
1780.00000000	-0.00040436
1790.00000000	0.00015259
1800.00000000	-0.00053406
1810.00000000	-0.00302888
1820.00000000	-0.00442508
1830.00000000	-0.00670627
1840.00000000	-0.00660709
1850.00000000	-0.00445560
1860.00000000	-0.00272371
1870.00000000	0.00141145
1880.00000000	0.00257875
1890.00000000	0.00356294
1900.00000000	0.00271608
1910.00000000	-0.00008392
1920.00000000	-0.00117493
1930.00000000	-0.00214387
1940.00000000	-0.00176240
1950.00000000	-0.00062561
1960.00000000	-0.00039673
1970.00000000	-0.00053406
1980.00000000	-0.00079346
1990.00000000	-0.00106049
2000.00000000	-0.00081635
2010.00000000	0.00021362
2020.00000000	0.00072480
2030.00000000	0.00122071
2040.00000000	0.00110627
2050.00000000	0.00059510
2060.00000000	0.00032807
2070.00000000	-0.00042725
2080.00000000	-0.00081635
2090.00000000	-0.00190736
2100.00000000	-0.00231172
2110.00000000	-0.00251772
2120.00000000	-0.00228120
2130.00000000	-0.00091553
2140.00000000	-0.00000763
2150.00000000	0.00196840
2160.00000000	0.00243379
2170.00000000	0.00218965
2180.00000000	0.00142670
2190.00000000	-0.00057984
2200.00000000	-0.00129700
2210.00000000	-0.00159455
2220.00000000	-0.00088501
2230.00000000	0.00112916
2240.00000000	0.00184632
2250.00000000	0.00255586
2260.00000000	0.00222780
2270.00000000	0.00115968
2280.00000000	0.00079346
2290.00000000	0.00024414
2300.00000000	0.00009155
2310.00000000	-0.00048828
2320.00000000	-0.00089264
2330.00000000	-0.00157929
2340.00000000	-0.00153352
2350.00000000	-0.00070954
2360.00000000	-0.00032044
2370.00000000	0.00001526
2380.00000000	-0.00022888
2390.00000000	-0.00081635
2400.00000000	-0.00087738
2410.00000000	-0.00054169
2420.00000000	-0.00028229
2430.00000000	0.00016785
2440.00000000	0.00040436
2450.00000000	0.00108338
2460.00000000	0.00154877
2470.00000000	0.00225069
2480.00000000	0.00215913
2490.00000000	0.00116730
2500.00000000	0.00039673
2510.00000000	-0.00116730
2520.00000000	-0.00142670
2530.00000000	-0.00111390
2540.00000000	-0.00067139
2550.00000000	0.00016022
2560.00000000	0.00035095
2570.00000000	0.00041199
2580.00000000	0.00031281
2590.00000000	-0.00016022
2600.00000000	-0.00047302
2610.00000000	-0.00094605
2620.00000000	-0.00090027
2630.00000000	-0.00047302
2640.00000000	-0.00031281
2650.00000000	-0.00028992
2660.00000000	-0.00041962
2670.00000000	-0.00069428
2680.00000000	-0.00066376
